"","PetID","cluster"
"134","25c7d6c3b",5
"135","0b819602d",3
"136","4c594983d",6
"137","05f99fc56",4
"138","1dfadc371",3
"139","6d9b202c9",5
"140","54791dc58",4
"141","b36616178",6
"142","2ac4dd8c2",6
"143","29f54c6ff",4
"144","48b418070",7
"145","c7eac7b01",6
"146","8e0d65b3e",7
"147","9a34ddc8b",2
"148","ff9f62e79",4
"149","4a6ee5d02",3
"150","474bccd75",2
"151","e4abb93bf",3
"152","120805f93",2
"153","2acf3fdce",3
"154","e1ecc1b26",4
"155","a8cdba660",5
"156","9bcd62ef1",2
"157","c3f2f166d",3
"158","687e9c33c",3
"159","bb5f471dd",2
"160","0aaf6976a",5
"161","45600eaab",4
"162","dcba09ff1",6
"163","d7f938acd",4
"164","ea11b6f12",4
"165","3332eb59c",6
"166","b3e19ff68",2
"167","594e3dc3f",3
"168","fbb112b7e",4
"169","d14d62508",3
"170","5de61cf6b",4
"171","b9590d4de",3
"172","747c82f83",5
"173","3004c3401",4
"174","c737c30d7",3
"175","03b0568b3",6
"176","987baa1c7",2
"177","70b3d1f9c",3
"178","27456ec0f",4
"179","5c28a8cec",4
"180","2c8ae4c7e",3
"181","cd7bea671",4
"182","7bda94ad0",5
"183","ab4b4681b",4
"184","aa189a931",3
"185","d0bc14f47",2
"186","eab8c8c03",3
"187","3b4a987ba",2
"188","1bbb46822",3
"189","5c546c236",3
"190","702bee848",6
"191","66757255c",3
"192","0b0f596b5",4
"193","938bcf142",3
"194","bea72e6c5",1
"195","52e555a3a",4
"196","3998bcfec",3
"197","e62e5aa26",5
"198","933e0a3e8",4
"199","1eb8a0278",4
"200","d5df16a32",6
"201","06296e4e2",6
"202","207d61997",5
"203","38a81271c",6
"204","65d10be4d",4
"205","c7b468b32",3
"206","6df350974",5
"207","249112486",3
"208","8f85e69ee",5
"209","b243b8e93",6
"210","89523a695",3
"211","4f0eacbdd",5
"212","b5fcc079e",7
"213","53976b229",6
"214","f4ed1a08e",2
"215","2f3227612",6
"216","ba66a7a82",3
"217","d4e83ee5b",5
"218","00a1f270a",6
"219","74e316be1",3
"220","039509c40",4
"221","eeb60466e",6
"222","c6cdbebfa",4
"223","82137b39f",2
"224","28b64c198",6
"225","f70251906",2
"226","9d76ed82f",4
"227","e83f846eb",6
"228","60b9421cc",3
"229","72a7cb335",6
"230","0bd4aed6b",3
"231","ae03f99f2",6
"232","5a1010bca",3
"233","6a5c652b5",3
"234","040771e8e",3
"235","706a9cd5c",2
"236","62550cf78",4
"237","701c5afba",3
"238","d0fcfeb0f",6
"239","7bce76c66",4
"240","3b0b88ac2",7
"241","a88d34ee3",3
"242","061378b30",3
"243","fc1457818",6
"244","a27f0cc49",4
"245","728c78b39",4
"246","6c054c4ef",3
"247","d5b9e0322",5
"248","a2dc697f6",5
"249","b04b200fa",4
"250","be7b65c23",5
"251","e37f4aa07",2
"252","7de2f688b",4
"253","e7020fa9a",4
"254","752491221",4
"255","c2346525a",3
"256","bc7361016",4
"257","66201cf73",4
"258","b7359384d",4
"259","be23e42d0",4
"260","1c59cecac",5
"261","e7e1904f4",2
"262","2e3bfe5a9",5
"263","13f07ee9a",3
"264","d78d1dec0",6
"265","821bd9373",3
"266","720db9cb3",3
"267","0443d6f82",6
"268","67efce2e0",3
"269","fa1a30192",3
"270","c675f3b10",6
"271","6e3d78857",4
"272","d4d6997e3",3
"273","d13d93f69",4
"274","d8715d47e",6
"275","c15b3c9f1",3
"276","3bef75882",2
"277","60bf93971",4
"278","e9eeadf82",2
"279","a4530b1d0",3
"280","da6bb3100",5
"281","79669f807",3
"282","3af2b1473",3
"283","0f0f81a37",4
"284","b8976d821",3
"285","9eb98f34c",5
"286","e317b2a73",2
"287","ebd78e1d4",4
"288","0822c54d5",4
"289","4036e0e12",5
"290","f34d62be0",5
"291","2a7b5edbf",4
"292","18042e473",4
"293","dc99804de",4
"294","0fb490c9b",4
"295","284be445a",3
"296","a831df76b",4
"297","145883970",6
"298","e3d9dc96d",3
"299","9a64e72cf",6
"300","6e643eba1",6
"301","a1b3dafc9",3
"302","fe88a5777",6
"303","bda2d149e",5
"304","6cb5381cb",3
"305","366a03818",3
"306","732d546b4",4
"307","a8a8f95f6",4
"308","0b4bb9906",6
"309","5eeb10b7a",4
"310","f03b04b1e",3
"311","a672ea96d",3
"312","4df43033d",6
"313","d25638f81",2
"314","aafb75ee8",2
"315","e9cf01a21",3
"316","1c74d62ed",3
"317","2148c2ef6",4
"318","f0bb05fc7",4
"319","479500716",3
"320","1afdf61ec",3
"321","b4d0c60b6",1
"322","110d4487e",7
"323","27cede3cf",3
"324","99dcd9020",6
"325","4cb8fe436",2
"326","a13ed5e9d",3
"327","7adc5209e",6
"328","0a8ee7520",4
"329","82aa52460",3
"330","4c9f111f1",2
"331","eb6c692dc",6
"332","d096658bb",5
"333","109c4f5a8",6
"334","f8b702182",3
"335","eb652ec07",3
"336","026ebf139",3
"337","6c7c5555f",5
"338","1a9733afb",7
"339","1a54d4e92",2
"340","8526200d3",4
"341","8df39788a",6
"342","045543730",4
"343","bf50b399e",2
"344","a05289ebd",6
"345","dee525fcd",5
"346","ceed27182",2
"347","c0a9578bb",6
"348","66dda45c4",4
"349","9c87d70e5",3
"350","4574e3de4",6
"351","794a45833",7
"352","800a7c025",3
"353","6c75b9082",4
"354","6dbc5c968",5
"355","4dad8252f",3
"356","3f9f466d1",6
"357","8bf9a6b80",3
"358","c43ecb3e1",5
"359","3a3ae56f1",2
"360","172332f53",3
"361","01f7fdb78",3
"362","9b721dcaf",6
"363","e20655a10",5
"364","9718baba0",5
"365","cdd7aee45",6
"366","86550c5dc",4
"367","ba311fc1a",4
"368","bb05c1ce8",2
"369","4060caeb1",4
"370","e54ee8e55",4
"371","166092e21",4
"372","5a2c8a05f",2
"373","d3d47c67d",3
"374","8ba0c6894",5
"375","71cc0a02e",4
"376","75bbaa3fa",3
"377","ca587cb42",4
"378","b4eb7f4df",3
"379","fd32ce3ef",2
"380","a15d8c8a8",3
"381","34cedf9bb",6
"382","ab599a6ac",6
"383","81da09ea9",2
"384","e736ab042",3
"385","81a815ef5",3
"386","0f122f712",3
"387","58a10d0cd",3
"388","3b1976326",6
"389","30ea81bac",4
"390","35907f15e",4
"391","bfb33b149",4
"392","375905770",4
"393","9ec161c16",1
"394","19f38a3f0",3
"395","e2f1f5377",2
"396","0c17e1f32",3
"397","b912b1114",6
"398","bd9e9d9e2",3
"399","241dd214b",3
"400","084874570",3
"401","c1df421c4",4
"402","ab9f715ad",4
"403","3cc84c2f8",6
"404","ee5583527",3
"405","9a770c49a",7
"406","e07812482",3
"407","997db5df5",4
"408","301e16ab9",6
"409","8705145ca",5
"410","6e3aad5f3",5
"411","75a11e0f8",4
"412","219a1308d",4
"413","915173d4d",3
"414","c390140c3",2
"415","81d97fa9f",3
"416","78b07d4e0",3
"417","6cd1cac68",3
"418","fb3bd80d1",5
"419","51372ce91",3
"420","1a1283447",5
"421","4831c683c",6
"422","90592e40c",3
"423","e4e5ea1d2",6
"424","e7a74fca8",4
"425","a5595a935",3
"426","c7575df7b",4
"427","e81c6347b",3
"428","7ee058c3d",6
"429","4d999ee22",3
"430","0637293ec",4
"431","7ead795bb",3
"432","691a8b7ea",6
"433","fcd21f3ec",6
"434","9c31047a7",4
"435","76d5726c4",7
"436","03d59fc21",4
"437","1a9e7158e",5
"438","86afe98e6",4
"439","0eba8b0ad",3
"440","d38bcdf49",3
"441","85a79f281",3
"442","91c2159dd",4
"443","91d6a2898",3
"444","cfddf0c47",3
"445","b102f525b",4
"446","dc1c9f8d5",6
"447","c96f9d3a8",5
"448","072ae6d9e",2
"449","fa94b21d1",6
"450","b5df81f99",3
"451","2c24655fe",5
"452","c702e00d2",3
"453","95d2a0bdf",3
"454","c8208c3c9",4
"455","9a9f6c753",2
"456","92b89a666",4
"457","6819ce556",3
"458","17bdf954a",4
"459","2bf834f39",6
"460","53cd96ef8",3
"461","da327c74b",6
"462","10a6c97d5",6
"463","f8d831236",3
"464","75a4a14ac",6
"465","df39a5468",4
"466","37f127385",3
"467","878e36da4",4
"468","1ffe668f9",5
"469","9a2f44ddf",2
"470","54e2508de",3
"471","432904c5d",3
"472","d30b90a39",3
"473","20559d623",4
"474","2e1d3ae52",3
"475","3b0b2a86a",6
"476","64c1c412b",6
"477","b28de653f",6
"478","0e6dd5e23",3
"479","46dea66ea",3
"480","842b21328",3
"481","184ea777b",6
"482","86547ad6d",6
"483","ead547f1b",4
"484","703f38466",2
"485","60b188249",4
"486","845703071",4
"487","3c5e8cc5d",3
"488","9f533475e",6
"489","0636650db",2
"490","d8128cefd",2
"491","6b3614a92",3
"492","dd2ec7bf4",3
"493","fcf377cce",5
"494","fb9a96204",1
"495","d4b028ea8",6
"496","8520800b1",4
"497","7f8f45a35",2
"498","dd7ad37e7",2
"499","c92256e41",7
"500","caa9a4f53",3
"501","4ef431298",3
"502","044548f89",4
"503","6c3a05812",3
"504","5d1fa8ddf",2
"505","68cdd6d6b",4
"506","1171c9a41",2
"507","f9994fbae",4
"508","67dbd5ed9",3
"509","129df65b1",3
"510","cc25fb529",6
"511","3db150833",3
"512","3b8b38508",5
"513","2e1d4e279",3
"514","f4f349714",7
"515","7d21dc4a8",3
"516","c3cafb38c",7
"517","a6e902691",2
"518","e3f841674",3
"519","a6423eca8",6
"520","2cea63a41",6
"521","1751240fe",7
"522","6c48c9154",3
"523","9a3c966a9",7
"524","ac49bdbdd",4
"525","7fc640ad8",6
"526","05252b175",4
"527","27104e464",3
"528","da8a47785",4
"529","1aa3952c1",4
"530","8bac2d757",4
"531","1ba11aaaa",4
"532","e5164d828",3
"533","a0dd85af0",5
"534","0392c0c81",4
"535","fff24fcb5",3
"536","1195168b6",6
"537","9f7bf4f71",3
"538","accca912b",2
"539","27c4981c9",3
"540","c2558c319",3
"541","12d514ef2",5
"542","3e2cc2690",6
"543","c5072890c",6
"544","17e6747da",6
"545","1f7d6b89e",3
"546","0052dcf47",4
"547","cdb855a69",6
"548","6f93a41c5",7
"549","23d2b8824",4
"550","dc56ff89a",3
"551","23379775f",5
"552","fca85f778",3
"553","2b3ec0f96",6
"554","a9bfec3ba",5
"555","8885f346b",6
"556","33d3738f6",6
"557","87f4ea65f",3
"558","edf0ff7e4",4
"559","bebab9790",7
"560","f17d4ab32",5
"561","97dc6aa32",6
"562","489d05a55",4
"563","51d8da535",4
"564","bb4c6519d",3
"565","9fceca5de",4
"566","93849e2b5",4
"567","700a93465",3
"568","d95eabfe9",2
"569","146d950bc",3
"570","439f040ed",4
"571","022d2d16e",4
"572","e0238b8c2",4
"573","a5b5eccb6",3
"574","0b8614414",4
"575","6e3457b81",4
"576","20d4ea30e",4
"577","f98750599",3
"578","2f346ac72",4
"579","fc9b4b692",3
"580","ec7775c4f",6
"581","487abc5e1",6
"582","06f523361",6
"583","5c66641a1",3
"584","ed5f14fda",3
"585","a23f0020a",2
"586","5a5463e17",6
"587","518f86025",3
"588","8dfe4da6a",5
"589","8c93a6e28",3
"590","94bcf0199",4
"591","e758e4c0c",5
"592","f2b656028",3
"593","c69842c2a",6
"594","fa07f7477",6
"595","09acd6b31",2
"596","782eb0d9d",4
"597","7fd7b7583",5
"598","655cfc630",2
"599","e9dc82251",3
"600","2f19ac5ab",3
"601","7687b7da2",7
"602","203e2bd3c",5
"603","6b0103c04",6
"604","3f936cb8a",5
"605","d0101e748",3
"606","56583003c",4
"607","f99a5e817",3
"608","157e3e074",3
"609","68731378e",2
"610","1e24f14d6",3
"611","eb8aeff64",3
"612","e9e06e3f6",4
"613","79f8b048f",7
"614","488bfc285",6
"615","5698c00e2",6
"616","b5aa169b4",5
"617","846e720dc",5
"618","13d0266c5",2
"619","1b87c512e",3
"620","859bcc995",6
"621","9744dcc69",4
"622","a2ae5fa7d",6
"623","445c703ff",4
"624","b9d6b1488",3
"625","1ffb40e20",3
"626","c0fe34d97",5
"627","1ee56e81a",5
"628","4e3e41b78",3
"629","f4415e636",3
"630","f91147e5f",7
"631","406a1e534",6
"632","648897870",3
"633","2418f7929",6
"634","2f60db1f7",6
"635","0e4049f6d",6
"636","27268f547",6
"637","113b2b57a",4
"638","d9c54752f",6
"639","daf1a8d08",3
"640","1ba69dec6",6
"641","b744f152f",4
"642","30908fb77",3
"643","beb3a6da0",3
"644","e3897d3cb",3
"645","cfe285c5f",7
"646","92caf1d01",4
"647","37bf6da18",3
"648","24d9b76ae",6
"649","86953ea0b",6
"650","0162634c2",4
"651","c0ca6dd73",3
"652","6f72c46b5",3
"653","c8fc0d746",3
"654","7b8924342",2
"655","5145f87a0",5
"656","e73038b62",6
"657","b8bf2c090",1
"658","44bba906d",6
"659","7d1d7a4f6",6
"660","fbaec0999",4
"661","e936f5f63",6
"662","43b277272",6
"663","36cc00cf3",3
"664","4fc4ac031",6
"665","d5a027e6c",6
"666","4bff9728d",7
"667","cd4b05b8c",3
"668","77fa5cdd7",3
"669","f253bd6aa",6
"670","21493e6ea",5
"671","c5e4cfab0",4
"672","7667378df",3
"673","d09835201",1
"674","a76983523",2
"675","b6637d165",3
"676","c60e6aff7",4
"677","ec7517f68",3
"678","3304185a1",3
"679","d7dc2efde",4
"680","25560b530",3
"681","59b224cc9",6
"682","32ef0472e",2
"683","51022a643",4
"684","4f7aa1d3c",3
"685","8b63e1b21",6
"686","7395053bc",7
"687","700de2c49",7
"688","d39c87657",7
"689","6dcbe818e",6
"690","88030e16e",6
"691","694caa813",3
"692","4eb61ccb3",4
"693","99558286a",3
"694","d9033fea0",6
"695","8e0c995a9",4
"696","eb8620132",6
"697","b279ec774",4
"698","261cbe336",5
"699","e02b6a2d4",3
"700","c12b5f5de",4
"701","7f8955f6a",4
"702","9809485bb",4
"703","9397426ea",2
"704","865e968b4",3
"705","7a25c5a12",6
"706","cb9cffdff",5
"707","b8d07c37b",6
"708","f0ac69be1",4
"709","80f8877f8",3
"710","0eaa9f888",4
"711","11960b9ed",3
"712","9d24c695e",5
"713","90e1edc71",4
"714","3c273e42f",6
"715","9dd9f107d",3
"716","58fe1756c",3
"717","ebbf04d10",3
"718","2b4b4e40c",3
"719","e7fbd95a9",6
"720","30dbb2e50",3
"721","1d46f1061",6
"722","71c3f9254",4
"723","3d181b3c6",3
"724","3536e1efd",3
"725","de993d8ad",4
"726","f8233b736",3
"727","76e071fcb",3
"728","d8c1859cb",6
"729","9ef475fbe",3
"730","2ea365a6f",3
"731","42e7de7c0",2
"732","71ad8e81d",4
"733","7ca780c35",3
"734","c039154f9",3
"735","eea0cb464",5
"736","09c629b05",6
"737","4be73c550",3
"738","4683d863b",4
"739","ff05d4438",2
"740","6d8793638",3
"741","79b514f79",3
"742","9102809eb",3
"743","4e7a22c99",3
"744","8c36b62a9",5
"745","5bda8f113",6
"746","943e9242f",6
"747","6d59be88d",5
"748","181fb7dae",4
"749","0ce98d199",3
"750","1aef9fc86",5
"751","b386bb45c",7
"752","b7fa5b815",3
"753","070faf086",4
"754","36a216956",2
"755","ae524a36a",3
"756","391e0cefd",4
"757","a0ece637e",7
"758","9eb042155",6
"759","c9646e275",4
"760","7d2fe6bb6",3
"761","154d24447",3
"762","9e0b14cf6",5
"763","80fcac43d",1
"764","a2b42f2e5",7
"765","ba8d53f1e",2
"766","d23a8d771",3
"767","3697f94e1",3
"768","0baab7556",3
"769","6f85ce1a9",4
"770","f24991ef7",5
"771","9c263fbc4",2
"772","a0cc9df12",5
"773","e825b8b9f",3
"774","c4feb7269",6
"775","14357e2ed",3
"776","056437112",3
"777","abc69ab7f",2
"778","4137d96a2",4
"779","dd5797b7f",3
"780","59d4947b6",2
"781","28c005011",3
"782","3f5f5782f",2
"783","dc0ee2c73",2
"784","124f45c2b",6
"785","8908c9d99",4
"786","8f21fee9f",3
"787","bcf13ec9d",1
"788","0f3434f36",6
"789","311479c63",3
"790","0b57ed86a",4
"791","2d33077f2",2
"792","a372e8416",3
"793","084e4c05b",3
"794","842528c2a",6
"795","96a1bce27",3
"796","99ba1c605",4
"797","d2dd62cf2",3
"798","53549acd2",6
"799","f981112a8",5
"800","53d6d37c8",6
"801","8edfea832",4
"802","d83aa1f02",6
"803","9e27976e9",3
"804","dbaacc7e8",6
"805","3a67f200f",4
"806","c93c0faa3",4
"807","c9439e71b",4
"808","4f502df1a",6
"809","9725bf4d2",4
"810","53bcfd67d",5
"811","949cb7ee9",4
"812","a58d8080b",3
"813","855de7c89",3
"814","796774834",4
"815","db635ae93",3
"816","11f062cb4",4
"817","137916924",3
"818","f0885aa00",3
"819","c7901e98d",4
"820","30e66b835",4
"821","55f34f8f5",5
"822","1bd200942",6
"823","f310c42f2",3
"824","7acaea66e",4
"825","5afe2ebbc",1
"826","747359fcb",5
"827","ff7ff0f3c",3
"828","f62e604d6",4
"829","64568c4a6",3
"830","67221a8f8",6
"831","2082ad764",4
"832","8960dc21e",3
"833","d7c661670",4
"834","caf3220f8",3
"835","a72a34bdf",5
"836","8af4db3f3",4
"837","0b59a57ff",5
"838","2d837689d",5
"839","da5ae6aa9",6
"840","cc8bf5e79",6
"841","06ecc204f",6
"842","b022c1924",5
"843","4a8caef08",3
"844","c547fc4f7",7
"845","dfa8ac290",4
"846","642a88a93",2
"847","5f2edae7c",4
"848","a22c43e29",4
"849","edf6a5240",3
"850","92c2878db",6
"851","d8fceeb86",3
"852","d0b61aedc",4
"853","89af60ff3",3
"854","62b2ac9fd",3
"855","bd5ac00df",2
"856","7e87938c3",4
"857","2db6c996b",3
"858","e79f310db",5
"859","f7af4ce3d",3
"860","eea72fce5",3
"861","9b1241ef0",3
"862","102482c40",3
"863","7d028bdea",4
"864","c6556750a",4
"865","defc7be05",3
"866","209e4f717",4
"867","14ae60869",1
"868","303ecdb58",6
"869","4463deb9a",5
"870","502c3e7ae",6
"871","4c1a9d86f",3
"872","8c17f26c4",3
"873","d9a014dbb",6
"874","f195c540d",6
"875","d33c9174f",5
"876","7ddc32b12",2
"877","3e4f81782",4
"878","e53cf2373",4
"879","93c9866b0",5
"880","f2755d8bf",3
"881","1727cfc45",4
"882","cad137e83",4
"883","0e8c2a1aa",5
"884","b8d244dd5",2
"885","4e00cd0ac",4
"886","fd6c93d05",3
"887","8563bddec",3
"888","2acc0a068",6
"889","b5033c917",3
"890","f3b4e3f5c",6
"891","80ae0a34f",4
"892","ca144ac2a",5
"893","dd8817ccb",1
"894","b612d6ba3",3
"895","c517992c8",2
"896","661bcb904",3
"897","d6e342121",5
"898","8415aff49",4
"899","d2be70a4c",6
"900","e4253889f",2
"901","c135c6b15",6
"902","eefb8d885",5
"903","545711134",1
"904","133cc5f19",4
"905","25ebacf03",2
"906","982dce813",5
"907","fe3e235e0",4
"908","4e01721aa",3
"909","0b01864e2",2
"910","b90e6ec69",6
"911","4298e4c15",5
"912","0b942f000",2
"913","bbff353ce",3
"914","4a0cda147",2
"915","fbed8fc1a",5
"916","7a54b760e",4
"917","4c5dd1f7c",4
"918","7be394a98",3
"919","87074d17f",3
"920","2502292c8",5
"921","a578345c4",4
"922","052b0ada8",4
"923","529025eb8",4
"924","3d3aef491",6
"925","2b3fc0265",3
"926","c37cd2095",7
"927","d075365c0",4
"928","a79fe858d",4
"929","fd279ad95",4
"930","c1ba2169b",5
"931","36632f72b",4
"932","9e380d9a2",4
"933","d01e08ee2",3
"934","fc4b199fa",3
"935","b05a3ca1d",3
"936","ed6684f3a",6
"937","27bf3ae34",2
"938","753654b70",4
"939","3613869b2",4
"940","cec359a78",4
"941","ebcdfedd2",4
"942","f39fef7c1",4
"943","a4fb2d366",3
"944","7f4fb6f7e",6
"945","05935bf08",4
"946","bd248bb10",6
"947","6c5f1f0a3",5
"948","d4c9eaede",3
"949","ce788268c",4
"950","bd30ea4fa",3
"951","6dac572be",4
"952","cdab9b66a",2
"953","fb0180584",3
"954","400cbe759",6
"955","281e2d7e8",3
"956","bf74b13ab",2
"957","01ba4e94d",2
"958","02d6020a9",3
"959","bf12ff750",3
"960","36ccd9729",3
"961","12f9b8e6c",2
"962","468cec390",4
"963","b80b51bda",3
"964","b2a23ac85",6
"965","a92b06d0f",5
"966","7af7d9cb6",4
"967","99558ec92",4
"968","4d20f6163",3
"969","d6cfa5d4b",3
"970","fc5e81c00",6
"971","cb0309848",1
"972","a72e084a4",3
"973","5e390710c",6
"974","056cc22d2",3
"975","8ced67d36",4
"976","81b5f684a",7
"977","204a3b926",5
"978","311ad9ac5",4
"979","642ed14e6",6
"980","640e18ef0",3
"981","ab8386c6d",2
"982","3f734b97c",3
"983","4f5f178e6",1
"984","c8be6ec3c",4
"985","b63d76ef4",6
"986","8435e081c",3
"987","eca179f5f",6
"988","9c580ca06",3
"989","706c85343",4
"990","73501589f",3
"991","201d52dee",3
"992","94fa9ff25",3
"993","06bf9e676",3
"994","4ccb3f896",6
"995","281618ba5",1
"996","515462e67",1
"997","35f9818a7",5
"998","260f532b1",3
"999","e25d4dcb1",3
"1000","5c810c552",4
"1001","54c2d49bb",6
"1002","30dd541af",3
"1003","19dcd4753",3
"1004","3209cdc3c",5
"1005","e80386a28",4
"1006","9b980624e",4
"1007","6f3e5cbd8",4
"1008","b4f1bc76e",5
"1009","4669945ed",3
"1010","1b932e373",5
"1011","a0f88616c",3
"1012","b0c918c91",3
"1013","59e24567e",6
"1014","50361acf5",5
"1015","50e35cd70",4
"1016","7330b19a5",3
"1017","050277142",4
"1018","69262e404",3
"1019","a6fc65f2d",2
"1020","19f4d65b7",4
"1021","76288167b",4
"1022","f93283e0c",4
"1023","685cbaf7f",4
"1024","cdc958646",5
"1025","6be0a8fcd",6
"1026","151d50f53",6
"1027","a81084ff0",6
"1028","b82317efb",3
"1029","e0b6196d9",4
"1030","133a0db2c",3
"1031","c712cfd20",3
"1032","467614705",5
"1033","26848ac26",2
"1034","88ac92eed",4
"1035","9fa760b69",6
"1036","3a0e3b527",4
"1037","c6acce195",4
"1038","04e7d89c0",7
"1039","f1c49dd17",2
"1040","93f758039",6
"1041","ba58bb1a4",4
"1042","85b57bb1e",3
"1043","0bc3f09be",2
"1044","0f311b358",3
"1045","32148e0fc",2
"1046","da8d4a273",6
"1047","7d526090e",3
"1048","deeea2b65",3
"1049","c9ebb9992",4
"1050","085c9be4a",6
"1051","12380b365",7
"1052","4ce0b81f5",4
"1053","cc60d07c7",4
"1054","f03979157",3
"1055","3a4178fe9",7
"1056","355743336",4
"1057","97db95d21",6
"1058","e42dc215d",7
"1059","11ad894e6",5
"1060","2b5a3c81d",2
"1061","79d32926c",6
"1062","6029bf590",6
"1063","df76ee4c1",7
"1064","df6f884c0",6
"1065","78ad8f1a2",6
"1066","311e28b8b",4
"1067","9b9e24b37",3
"1068","c3ae3e118",4
"1069","9866d1bd1",6
"1070","9193e335e",3
"1071","78c217b2a",4
"1072","cd617c72c",5
"1073","3089a5bd8",2
"1074","cb5597fb1",3
"1075","1a3a45096",3
"1076","382e4bddd",2
"1077","944db63df",3
"1078","1d03b6d7c",3
"1079","7cbad35f9",4
"1080","6e6d8b614",5
"1081","e3a5332ce",2
"1082","e5e083218",3
"1083","b75594e30",6
"1084","2cdb96709",6
"1085","0bd2d5882",3
"1086","ea319fdec",6
"1087","300337abe",6
"1088","90a967a14",6
"1089","76358e754",5
"1090","df8ad80b3",4
"1091","8dd958339",6
"1092","796382bf4",7
"1093","81a176a02",2
"1094","e93afb8ff",5
"1095","67e7da152",6
"1096","d721ed589",6
"1097","6f2721c52",1
"1098","1a018ef15",4
"1099","8c4c4bc6e",3
"1100","1bb0600a7",4
"1101","e04df6caf",5
"1102","62d6817ab",2
"1103","faf6a8cd0",6
"1104","86d203b94",4
"1105","093a35049",4
"1106","2e6fc0342",3
"1107","f849d1829",3
"1108","32918fcdf",2
"1109","a2edd6e44",3
"1110","44b6a5b46",6
"1111","abdeff83f",2
"1112","f2a6e7dac",6
"1113","8311f29c4",3
"1114","b1da9f428",3
"1115","f54bef6d6",6
"1116","b12bdec95",5
"1117","69c8c9463",2
"1118","aefafcc66",6
"1119","8eb134074",5
"1120","8910f2f5e",5
"1121","45bf47f58",2
"1122","190eba3c6",5
"1123","228d72748",2
"1124","e21d09b79",7
"1125","833c51fd2",2
"1126","38e12233c",3
"1127","4d6a996c1",4
"1128","52238d3bf",4
"1129","2e1e8bbe3",2
"1130","e99c4a55d",7
"1131","bd870f5b1",3
"1132","727a1c793",6
"1133","24afd5f54",3
"1134","abe8790ba",4
"1135","d2d9924f0",4
"1136","162e06c01",7
"1137","29900d942",3
"1138","018cb4eaf",3
"1139","5419155f2",5
